University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
Australian National University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Canberra, ACT",35000,3
Bond University,Bachelor of Business,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",29000,3
University of Sydney,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
Curtin University,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of New South Wales,Bachelor of Engineering (Civil),Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,4
University of Queensland,Bachelor of Economics,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Western Australia,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Deakin University,Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
James Cook University,Bachelor of Veterinary Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",40000,5
La Trobe University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
University of Tasmania,Bachelor of Marine and Antarctic Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,4
University of South Australia,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,4
Griffith University,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",29000,3
University of Canberra,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Canberra, ACT",31000,4
University of Technology Sydney,Bachelor of Design in Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Flinders University,Bachelor of Law,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,4
Victoria University,Bachelor of Business (Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Southern Cross University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
University of Newcastle,Bachelor of Mechanical Engineering,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",33000,4
Macquarie University,Bachelor of Media and Communications,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
