Western Sydney University,Diploma in Design Extended - Graphic Design,Pre-Bachelor,Full-time,On Campus,"Paramatta, New South Wales, Australia","20,640",3
Swinburne Online,Media and Communication - Media Studies,B.A.,"Full-time, Part-time",Online,Online,"16,323",3
University of Adelaide,Media with Arts,Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","11,775",3
La Trobe University,Education,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","5,095",3
Macquarie University,Intensive Foundation Program,Pre-Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","14,800",3
Swinburne University of Technology,Business (Finance),B.A.,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","16,323",3
Victoria University,Sport Science (Human Movement) and Sport Management,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","33,400",3
University of Sydney,Medical Science,B.Sc.,"Full-time, Part-time",On Campus,"Camperdown, New South Wales, Australia","10,000",3
University of Wollongong,Journalism,Bachelor,"Full-time, Part-time",On Campus,"Wollongong, New South Wales, Australia","31,104",3
University of Southern Queensland,Diploma of Human Services and Development,Pre-Bachelor,"Full-time, Part-time","Online, On Campus",Multiple locations,"26,320",3
Australian National University,Applied Data Analytics,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","50,760",3
University of Queensland,Ancient History (Honours),Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","15,543",3
University of Wollongong,Public Relations,Bachelor,"Full-time, Part-time",On Campus,"Wollongong, New South Wales, Australia","32,448",3
Flinders University,Advanced Manufacturing and Digital Design,B.Eng.,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","8,944",3
RMIT University,Mechatronic Engineering,Bachelor,"Full-time, Part-time",On Campus,"Wollongong, New South Wales, Australia","40,272",3
Monash University,Education and Music (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","8,000",3
RMIT University,Aviation - Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","4,627",3
Australian National University,Asian Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","45,060",3
Queensland University of Technology,Business - Information Technology,Bachelor,Full-time,"Online, On Campus","Brisbane, Queensland, Australia","12,900",3
Queensland University of Technology,"Film, Screen and New Media",Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","12,100",3
University of Adelaide,Engineering (Honours) - Arts,Bachelor,"Full-time, Part-time",On Campus,"Wollongong, New South Wales, Australia","40,272",3
Macquarie University,Business - Information Technology,Bachelor,Full-time,"Online, On Campus","Brisbane, Queensland, Australia","12,900",3
Swinburne University of Technology,"Film, Screen and New Media - Laws (Honours)",Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","15,400",3
Victoria University,Environmental Engineering,Bachelor,"Full-time, Part-time",On Campus,"Perth, Western Australia, Australia","8,808",3
University of Sydney,Bachelor of Commerce,B.Sc.,"Full-time, Part-time",On Campus,"Joondalup, Western Australia, Australia","12,600",3
University of Wollongong,Science and Advanced Studies (Taronga Wildlife Conservation),Bachelor,"Full-time, Part-time",On Campus,"Camperdown, New South Wales, Australia","10,000",3
University of Southern Queensland,Arts - Hebrew and Jewish Studies,Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","33,622",3
Australian National University,Medical (Honours),B.Eng.,"Full-time, Part-time",On Campus,"Sydney, New South Wales, Australia","8,100",3
University of Queensland,Bachelor of Environmental Science and Management,Bachelor,"Full-time, Part-time",On Campus,"Newcastle, New South Wales, Australia","37,925",3
University of Wollongong,Architectural Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","4,627",3
Flinders University,Biotechnology,B.Sc.,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","8,948",3
RMIT University,Bachelor of Computer Systems Engineering - Bachelor of Computer Science,B.Eng.,"Full-time, Part-time",On Campus,"Newcastle, New South Wales, Australia","40,605",3
Monash University,Bachelor of Nursing (Honours),Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","39,110",3
RMIT University,Bachelor of Science - Anatomy and Human Biology,B.Sc.,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","9,846",3
Australian National University,Engineering (Sustainability Engineering) (Hons),Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","33,040",3
Queensland University of Technology,International Relations,Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","11,755",3
Queensland University of Technology,Finance (Honours),Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","13,055",3
Murdoch University,Accounting (Pathway to Master of Management (Business Analytics)),Bachelor,Full-time,"Online, On Campus","Sydney, New South Wales, Australia","38,300",3
